word	sth	binarySentiment	smallScaleSentiment	bigScaleSentiment	SO-PMI_score
szczelny	m	1	1	1	1.5
zewrzeć	m	1	1	0	-1.0
nocleg	c	0	0	0	-2.0
precyzyjny	m	1	1	0	-1.9
dziekanat	c	0	0	0	-1.0
stanik	c	0	-1	-1	-1.0
zwyknąć	m	0	-1	0	-0.5
grenoble	c	1	1	0	-1.0
miot	c	1	-1	0	-1.0
defekt	c	1	-1	-1	2.8
obowiązywać	m	1	-1	0	-1.0
polegać	c	1	1	0	1.2
nuda	c	1	-1	-1	1.8
sankcja	c	0	1	0	-1.6
łoże	c	1	1	0	-3.0
lekarz	c	0	1	0	4.1
dopracować	c	1	1	1	0.5
słodko	c	1	-1	2	-2.4
rzeka	c	0	0	0	0.1
sąsiad	c	0	1	0	-0.3
pełnoletni	c	0	1	1	-1.0
spekulacja	c	1	1	0	-3.0
czytelny	m	0	1	1	-1.0
tkanka	c	1	-1	-2	-9.7
nieistnienie	c	0	0	0	-1.0
sprzedać	c	0	0	0	-3.0
miałki	m	1	-1	-1	-1.0
zagrożenie	c	1	1	0	-5.5
uprawa	c	0	0	0	1.0
realnie	c	1	1	0	-2.6
różnorodny	c	0	0	0	-3.2
boleśnie	m	1	-1	-1	-3.8
południowy	m	0	0	0	-1.7
przyrost	c	0	0	0	-3.9
aktualnie	c	0	0	0	-1.5
zasada	c	1	1	0	5.2
znakomicie	m	1	-1	-1	2.1
napakować	m	1	-1	1	-1.0
oficjalny	c	1	-1	0	-3.4
wyśnić	c	1	1	0	-1.0
wyrobić	c	1	1	1	-0.3
humor	c	0	1	0	4.9
przyjaciel	c	1	1	1	7.4
łakomy	m	0	0	0	-1.0
konsolowy	m	0	0	0	-1.0
raport	c	0	0	0	-3.6
pomarzyć	c	1	-1	-1	-1.0
mniejszość	c	1	1	0	-3.0
zwracać	c	1	0	0	1.8
przerzut	c	0	0	0	-1.0
chodzący	c	0	1	0	-2.0
tłuszcza	c	0	0	0	-2.6
odbyć	c	0	0	0	4.9
zwolenniczka	c	0	1	1	-1.0
wytwór	c	1	1	0	2.6
dojrzały	m	1	1	1	1.1
kruch	m	1	-1	-1	-1.0
skrzat	c	1	1	1	-1.0
super	m	1	1	1	3.0
humanista	c	1	-1	0	-1.0
zeszyt	c	0	1	2	-1.1
słodki	m	0	0	1	-2.7
zachwycać	m	1	1	0	3.6
opis	c	1	1	1	1.0
zezłościć	c	1	-1	-1	-1.0
felga	c	0	1	-1	-1.0
żarliwy	m	1	-1	-1	-0.6
plus	c	1	1	0	-0.0
przekonany	c	1	1	1	-0.5
odpowiadać	c	1	1	0	2.7
zawodowy	c	0	0	1	2.5
hałaśliwie	m	1	-1	-1	-1.0
nieustannie	c	1	1	1	-2.0
sprzedaż	c	0	0	0	-2.4
ogródek	c	1	1	0	1.1
zamek	c	0	1	-1	0.3
ateista	c	1	1	0	-1.0
lampion	c	0	1	0	-1.0
pomalować	c	1	1	0	3.0
szkoła	c	0	0	0	3.9
rosja	c	1	1	0	-1.0
wynagrodzić	c	1	1	0	-0.0
podle	m	1	-1	-2	-2.6
galaktyczny	c	1	-1	0	-1.0
wysokokaloryczny	m	1	1	1	-1.0
amsterdam	c	1	1	0	-1.0
stereotypowy	m	1	-1	-2	-1.0
przestraszyć	c	0	-1	-1	-1.4
jednakowo	m	1	-1	-1	-2.6
strzałeczka	c	0	0	0	-1.0
irlandia	c	1	1	0	-1.0
boisko	c	0	1	1	-2.1
przeklinać	c	0	0	-2	-2.2
stratny	c	0	1	1	-1.0
fajno	c	1	1	1	-1.0
potwierdzić	c	1	1	0	-1.6
bezkresny	m	0	0	0	-1.0
zrównoważony	c	0	1	1	-2.6
synonim	c	1	1	0	-3.6
dowartościować	m	1	1	-1	-1.0
jednorodzinny	c	0	0	0	1.0
jakimś	c	1	1	0	-1.0
skłonność	c	1	-1	0	-3.1
przystanek	c	0	1	1	1.0
niewygodny	c	1	1	0	-5.0
ubikacja	c	0	1	0	-1.6
zaaferowany	m	1	1	1	-1.0
popularność	c	0	1	1	1.8
łapka	c	1	-1	-1	-0.6
trup	c	1	1	0	-3.0
przebojowy	m	1	-1	1	-1.0
porwać	c	1	1	0	-5.6
zdeklasować	c	1	1	-1	-1.0
substrat	c	1	1	0	-1.0
sprawny	m	1	1	0	1.1
wyszukany	m	1	-1	0	0.5
egocentryczny	m	1	-1	-2	-2.0
funkcjonalny	m	0	1	0	2.1
żona	c	1	-1	0	5.3
okres	c	0	0	0	0.5
wizjonerski	m	1	1	2	-1.0
przesada	c	1	-1	0	0.5
orgazm	c	1	0	-1	-10.0
szał	c	0	1	0	-1.5
sakiewka	c	0	-1	0	-1.0
zasadowy	m	0	0	0	-3.6
pytać	c	1	1	1	5.2
polska	m	1	1	0	-1.0
baza	c	0	0	0	0.8
śpiący	c	0	1	1	-1.0
poseł	c	0	1	2	-2.2
rzeczowy	m	0	1	0	-1.6
polski	c	1	-1	0	7.3
przegrany	c	0	0	0	-3.6
głęboki	m	1	-1	0	0.2
niebieski	c	0	1	0	4.3
własny	c	1	1	1	3.1
głos	c	0	0	2	2.3
grzyb	c	1	1	0	0.8
magicznie	c	0	0	0	1.5
królewski	c	0	1	0	0.3
uchwyt	c	0	0	0	-2.3
wnieść	c	0	0	0	-2.9
nauka	c	1	1	-1	2.2
lalkarz	c	0	0	-1	-1.0
bezgranicznie	m	1	1	-1	1.3
dzień	c	0	0	0	5.7
skrupulatny	m	1	-1	1	-1.0
ładować	c	1	-1	-1	-1.0
niepotrzebny	c	1	0	0	-1.3
promocyjny	c	1	1	0	-2.6
konsekwencja	c	0	0	0	-7.4
dołączać	c	0	0	0	-0.0
bolą	c	1	1	0	-1.0
kanoniczny	m	0	1	0	-2.0
przeżreć	m	1	-1	-1	-1.0
rola	c	0	1	0	6.1
milioner	c	1	1	1	1.0
test	c	0	0	0	-7.7
zakazać	c	1	-1	0	-1.6
grzecznie	m	1	1	0	-0.0
gdańsk	c	1	1	0	-1.0
klątwa	c	0	-1	0	-1.0
hałaśliwy	c	1	-1	-2	-5.7
prącie	c	0	-1	0	-2.0
wakacje	c	1	1	1	4.0
ujemny	m	0	0	0	-4.2
przymierze	c	1	1	0	-2.6
niedostępny	c	1	-1	-1	-3.0
koncert	c	0	1	1	6.5
zarejestrować	c	0	0	0	-1.4
pewność	c	0	-1	0	0.8
integralny	m	0	0	-1	0.5
arbitralny	m	0	-1	0	-1.0
osobiście	c	1	1	0	2.1
dojrzewalnia	c	1	1	0	-1.0
tańczyć	c	1	-1	-2	4.5
weekend	c	0	1	0	1.3
wówczas	m	1	0	0	3.4
odwaga	c	1	-1	0	-5.0
nośnik	c	1	1	0	-2.0
czystość	c	0	1	1	4.5
bajeczka	c	1	1	2	-0.0
obraz	c	1	1	0	7.0
faza	c	0	0	0	-4.6
dotkliwy	m	1	-1	-2	-4.9
żartów	c	1	1	0	-1.0
silny	m	1	-1	-1	-0.4
przenikliwy	m	1	1	1	-3.6
pomieszczenie	c	0	0	0	0.7
przyczyna	c	1	1	1	-2.6
rozum	c	1	1	1	6.7
opodatkować	c	0	0	0	-1.0
martwy	m	1	1	1	-0.8
bezawaryjny	c	1	1	0	-1.0
mały	m	1	-1	0	3.4
znaczyć	m	1	-1	2	5.3
cudny	m	1	1	0	2.0
opatrzony	c	0	0	0	-2.0
brytyjski	c	1	1	0	-3.7
koncern	c	0	-1	0	-1.4
telefon	c	0	-1	0	1.9
wykazywać	c	0	1	0	-3.6
lider	c	1	1	0	-6.9
ukochany	c	1	-1	-1	0.3
ohydnie	m	1	-1	-2	-1.0
mila	m	1	1	0	3.2
czytać	c	1	0	0	7.5
przerwa	c	0	1	1	-2.7
huczny	c	1	-1	0	-1.0
odziać	c	1	1	0	-0.0
długi	c	0	0	0	0.4
klasyczny	m	1	1	0	3.5
niewidoczny	c	0	-1	0	-3.0
okolica	c	1	-1	-1	0.0
choroba	c	1	1	0	-4.4
pretensjonalny	m	1	-1	2	-1.0
ładny	m	1	1	2	7.9
finlandia	c	1	1	0	-1.0
wyzwać	c	0	0	0	-0.0
petersburg	c	1	1	0	-1.0
stwierdzić	c	0	0	0	-1.1
facetka	c	0	-1	-1	-1.0
dobrze	m	0	1	1	7.5
rozbudować	c	0	1	0	0.8
czarny	m	1	-1	-1	0.5
sztuka	c	0	0	0	14.3
drewniany	m	1	-1	0	3.4
paliwożerny	m	1	-1	-1	-1.0
tunezja	c	1	1	0	-1.0
chłopiec	c	0	-1	0	3.4
moderator	c	1	1	0	1.3
załączyć	c	0	0	0	-1.0
prozaiczny	m	1	-1	0	0.5
lakoniczny	m	0	-1	-1	-2.0
okładka	c	0	0	0	-0.7
bierny	c	0	-1	0	-4.0
kryzys	c	0	1	1	-7.1
dziki	c	1	1	1	-3.9
obrotowy	c	0	1	0	-1.0
minuta	c	0	0	0	-0.3
przedrukowywać	c	0	0	0	-1.0
obecnie	c	0	0	0	-3.5
priorytet	c	1	0	0	-2.0
ogród	c	0	1	0	4.6
rozpraszać	c	1	-1	0	-4.0
rozgłośnia	c	1	1	0	-1.0
dowódczy	c	0	0	0	-1.0
dzisiejszy	c	1	1	0	2.1
powtórzyć	c	1	-1	0	0.2
ekspert	c	0	0	1	-6.5
stado	c	1	1	2	-5.4
kardynał	c	1	1	1	-3.3
chudzić	m	1	1	0	-1.0
team	c	1	1	0	-1.0
seweryn	c	1	1	0	-1.0
pasja	c	1	1	2	6.3
przyzwyczajenie	c	0	1	0	-1.6
radośnie	m	1	-1	-1	3.0
podparcie	c	0	1	0	-1.0
męczyć	c	1	1	-1	-2.6
przestępstwo	c	0	1	-2	-3.6
skryta	m	1	1	-1	-2.6
zwyczaj	c	1	1	0	2.0
nawrócić	c	0	1	2	4.5
ścigać	c	1	-1	0	-6.4
przełomowy	c	1	1	0	-4.2
korzystać	c	0	0	0	1.6
prawomocny	c	1	1	0	-1.0
renta	c	0	1	-1	-3.9
wielki	m	0	0	0	5.1
magiczny	m	1	1	0	-4.0
odstęp	c	0	0	0	-1.0
rolnik	c	1	1	2	-2.0
zaawansowany	m	0	0	0	1.5
nabrzmieć	c	0	-1	0	-2.0
przysłowiowy	c	1	1	0	-0.8
energooszczędny	m	1	1	0	1.0
niechlujny	c	1	-1	0	-1.0
miodnie	c	1	1	-2	-1.0
dodać	c	0	0	0	3.4
przepis	c	0	1	0	-2.5
godzinny	m	0	0	0	-2.0
poczciwy	m	1	1	1	-0.3
szwajcar	c	1	-1	0	-2.0
plebejski	m	1	-1	-1	-1.0
zdobyć	m	0	0	-1	1.5
zielony	m	0	0	0	1.4
wstęp	c	1	-1	-1	1.7
harmonijka	c	1	1	0	-1.0
przeźroczysty	m	0	0	0	-1.0
opaść	m	1	1	2	-5.7
blisko	m	0	0	1	-2.6
święto	c	0	1	-1	3.6
bliski	m	1	-1	-2	5.1
produkować	c	1	0	0	-0.4
obejrzeć	c	0	0	-2	2.6
zainteresowany	c	1	1	-1	-1.0
niebagatelny	c	0	0	0	-0.0
chrystus	c	1	1	0	-1.0
otyły	m	1	1	1	-4.0
wzmocnić	c	1	-1	1	-1.8
wymowny	c	1	0	0	-0.0
stateczny	m	1	1	1	-1.0
jednorożec	c	1	1	0	-1.0
brzemienny	c	1	0	0	-3.0
prawdziwek	c	1	-1	2	-1.0
uroda	c	1	-1	2	6.2
aktualny	m	1	1	0	-2.6
elitarny	m	1	1	0	-1.0
niewiedza	c	1	1	-1	-2.0
zapomnieć	c	1	-1	-1	0.3
brodawka	c	0	0	0	-5.9
ciek	c	0	0	0	-1.0
obecny	c	1	1	0	-0.2
wykwintny	m	1	0	2	0.5
impreza	c	1	1	-1	7.1
fakt	c	1	-1	0	1.2
drzewo	c	0	1	0	1.9
ostatecznie	c	0	0	1	-5.3
alergik	c	0	-1	-1	-0.0
niepokojąco	m	0	0	-1	-2.0
egzorcysta	c	0	0	0	-1.0
pokonać	m	1	0	2	-5.2
trakcja	c	0	0	0	-1.0
ubrany	c	1	1	1	0.2
efektywny	m	1	1	-1	-3.6
łagodny	m	1	1	-1	-1.0
chłopak	c	1	1	1	-1.6
przygotować	c	1	-1	0	5.7
kuriozalny	m	0	-1	-1	-1.0
zawistny	c	1	-1	-2	-1.0
zażyłość	c	1	1	2	-1.0
popatrzeć	c	1	1	1	-2.0
jastrzębie	c	1	1	0	-1.0
pożądać	m	1	-1	-1	-1.0
codziennie	m	0	0	0	-4.8
kraków	c	1	1	0	-1.0
rozsądny	m	1	-1	-1	0.5
paskudnie	m	1	-1	-2	-1.0
emitować	c	0	-1	0	-2.0
powielać	c	1	1	-1	-1.0
religijny	m	0	0	-1	3.9
ubrać	m	1	1	0	3.2
pochopny	m	1	-1	-1	-2.0
odbiór	c	1	1	0	-0.3
grzeszny	c	1	-1	-1	-1.0
przeistoczyć	c	1	1	1	-1.0
błahy	m	1	-1	-1	-3.0
właściwy	c	0	1	0	-1.8
boski	m	1	1	2	2.7
zaniedbać	c	1	1	-1	-0.5
przepiękny	c	1	-1	2	2.0
legitymista	c	1	1	2	-1.0
zaraźliwy	c	1	-1	-1	-1.0
łosoś	c	1	-1	-1	-0.0
pojemny	m	1	1	1	-0.0
miodowy	c	0	1	1	0.5
konsulat	c	0	-1	0	-1.0
dowiedzieć	c	1	1	2	2.2
mieszkać	c	0	0	0	6.3
chrupać	c	0	-1	-1	-1.0
fioletowy	m	0	0	0	-4.4
oddawać	c	0	0	0	2.1
posiedzieć	c	1	-1	0	-4.0
tchórz	c	1	-1	-2	-0.0
podporządkować	c	1	1	0	-1.6
szczęście	c	0	0	0	5.3
figura	c	0	1	-1	0.5
szczery	m	1	1	2	4.3
współczesny	m	0	-1	2	-0.5
wykorzystać	c	0	1	0	1.1
pochodzić	c	0	0	0	2.8
wspólny	c	1	1	1	3.7
podróżować	c	0	1	0	3.5
trzykrotnie	m	0	0	0	-1.6
politycznie	m	1	1	1	-5.6
seksowny	m	1	1	1	2.0
praworządny	m	0	1	1	-1.0
chorób	c	1	1	0	-1.0
obrzeże	c	1	1	0	0.5
męski	m	0	0	0	4.7
ogień	c	0	0	0	2.8
arystokratka	c	1	1	-1	-1.0
wzruszyć	m	1	1	0	-2.0
czytelnik	c	0	1	0	9.7
stacja	c	1	1	1	-1.5
ambitny	m	1	1	1	-5.2
część	c	1	1	0	2.1
pacjent	c	1	1	0	-2.6
brakować	c	1	1	-2	2.2
słownik	c	1	0	2	-0.0
przedział	c	0	0	0	-0.5
obawa	c	1	1	0	-4.8
manieryczny	m	1	-1	-1	-1.0
dynamiczny	m	1	-1	-1	-0.3
konstruktywny	c	1	1	1	-1.0
tramwaj	c	0	0	0	0.2
wyznacznik	c	0	1	0	-2.6
opatrywać	c	1	-1	0	-1.0
dziewica	c	0	-1	-1	-0.0
zima	c	1	1	1	2.7
ciemno	m	0	1	1	-4.0
król	c	1	1	0	6.4
pełny	m	1	1	0	6.0
wypalić	c	1	1	1	-3.3
centrum	c	1	1	1	0.7
odtłuścić	c	1	1	1	-1.0
data	c	1	1	0	-2.5
zdesperowany	m	0	1	1	-2.0
katar	c	0	0	0	-6.0
publicznie	c	0	1	1	-1.5
przywódca	c	1	1	1	-3.8
plakat	c	0	1	0	2.9
felerny	m	1	0	0	-1.0
tragicznie	m	1	-1	-1	-5.4
początkowy	c	0	0	0	-7.0
pionierski	c	0	1	-1	-1.0
nowotwór	c	1	-1	-1	-3.2
początkowo	c	0	1	1	-7.5
zakres	c	0	0	0	-2.7
trochę	m	0	1	0	5.0
codzienny	c	1	1	0	2.4
odbierać	c	1	1	0	-1.8
ideowy	c	1	-1	0	5.5
uszczelka	c	0	0	0	-1.0
bezcelowy	c	1	-1	0	-1.0
wierny	m	1	1	0	3.9
wymarzony	c	0	1	0	2.2
zastosować	c	0	-1	0	-1.5
około	m	0	0	0	0.0
niewolnik	c	1	1	0	-1.5
maksymalny	c	0	0	0	-0.5
wędkarz	c	1	-1	0	-0.0
zniknąć	c	0	-1	-1	0.4
kraina	c	1	0	0	0.0
forma	c	0	1	0	4.2
żywo	m	0	1	0	-0.5
przygasić	m	1	-1	-1	-1.0
szczytnica	c	1	1	0	-1.0
pewno	c	0	1	0	5.3
pokazać	c	1	1	1	5.0
gabinet	c	0	0	0	2.6
zaznajomić	c	1	1	0	-1.0
wczesny	m	0	1	0	-2.6
drgawka	c	1	-1	-1	-7.0
typowo	c	1	-1	0	1.0
powiat	c	1	1	0	-1.9
dowcipny	c	1	1	1	-1.8
skromnie	c	1	1	2	-1.0
niesympatycznie	c	1	-1	-2	-1.0
wcześnie	m	0	-1	0	2.9
twórca	c	0	1	0	3.7
składnia	c	0	1	0	-1.0
hala	c	1	1	0	0.0
przestępca	c	1	-1	0	-2.6
feministycznie	m	1	-1	-2	-1.0
dosłowny	m	0	0	0	-0.2
przeraźliwie	m	1	-1	0	-1.6
niesamowicie	c	1	1	2	-3.2
przystojny	m	1	1	2	-1.0
nadczynność	c	1	-1	-1	-3.0
kreska	c	0	-1	0	-2.8
nieodłączny	m	0	-1	-1	-4.0
uprawnić	c	0	0	0	-1.0
organ	c	0	0	0	-5.1
większością	c	1	1	0	-1.0
pieczołowicie	m	1	1	1	-1.0
spacerować	c	0	1	1	-4.6
jednokierunkowy	c	0	-1	-1	-1.0
oprzeć	c	0	1	0	3.0
gładki	m	0	1	-1	-0.2
nuta	c	0	-1	0	-3.4
zainteresować	c	1	1	0	2.4
jednorazowy	c	0	0	0	-1.4
chętny	m	1	1	0	0.4
kraj	c	0	0	1	5.9
zapiąć	c	0	0	-1	-0.0
nowość	c	0	-1	0	-2.0
elastyczny	m	1	1	1	-3.6
poker	c	0	0	0	-1.0
trzecioklasista	c	1	0	-2	-1.0
doświadczyć	c	1	1	0	-4.7
relacja	c	1	1	1	3.1
mikołaj	c	0	1	0	-1.0
speszyć	c	1	-1	-1	-1.0
zadowalający	m	0	1	0	-0.0
samochód	c	0	-1	0	4.3
ustawiać	c	0	0	0	-1.8
cierpliwość	c	1	1	1	-0.2
cudownie	m	0	0	0	8.1
ciekawski	m	1	-1	-2	-1.0
typowy	m	1	1	0	0.1
eksperyment	c	0	0	0	-4.5
lekkość	c	1	1	-1	-1.3
lecznictwo	c	1	-1	0	-1.0
śmierć	c	1	-1	-2	4.0
skazany	c	0	0	0	-3.5
elektryczny	c	0	0	0	-5.5
ruch	c	0	1	0	-3.3
trauma	c	1	1	-1	-4.9
mój	m	0	0	0	11.1
internet	c	0	1	0	-0.7
dowód	c	0	1	0	3.4
sypka	m	0	1	-1	-1.0
zegarek	c	0	-1	-1	-1.0
efekt	c	1	1	0	2.0
butla	c	0	0	0	-2.0
eksperymentalny	m	1	0	0	-3.0
koncertowo	m	1	1	2	-2.0
punkt	c	0	0	0	1.0
głuchy	c	1	-1	1	-5.7
przetwórstwo	c	1	1	0	-2.0
romans	c	1	1	-2	-1.0
obowiązkowo	c	0	0	0	-1.0
infantylny	m	1	-1	-2	-1.0
festyn	c	1	1	0	1.3
limeryk	c	1	-1	0	-1.0
oaza	c	0	0	0	-1.0
spotykać	c	1	-1	0	6.5
setka	c	0	0	0	-3.0
katechetka	c	1	1	1	-1.0
hipolit	c	1	1	0	-1.0
spektakularny	m	1	1	1	-2.6
ankieta	c	0	1	0	2.3
biedny	c	1	1	0	2.1
uziemić	c	0	0	1	-1.0
grozić	c	0	-1	0	-5.8
sukces	c	1	1	1	3.3
apetyt	c	1	1	1	-5.5
prawnik	c	1	1	0	-1.0
tekst	c	0	1	1	5.6
zatytułować	c	0	0	0	-3.0
trwać	c	0	1	1	0.8
mucha	c	0	-1	-1	-4.0
stabilnie	m	0	1	-1	-1.0
serwisować	c	1	1	0	-1.0
złodziej	c	1	-1	0	-2.6
mieszanka	c	0	1	0	-2.6
niebezpieczny	c	1	1	2	-7.4
koszalin	c	1	1	0	-1.0
grabarz	c	1	1	-1	-1.0
łamliwy	m	1	1	0	-2.0
radykalnie	m	0	-1	0	-1.7
hodowla	c	1	1	-1	-1.0
elegancki	m	1	1	1	1.5
racjonalny	m	0	1	1	-2.1
przykryć	c	0	0	0	-0.5
styczeń	c	0	1	0	1.2
dzieło	c	1	1	2	9.0
dawny	m	0	0	1	7.0
zrobić	c	1	1	0	4.6
kaktus	c	1	-1	0	-0.0
rozważny	m	0	1	-1	-1.0
napędowy	c	0	0	0	-1.0
hanka	c	1	1	0	-1.0
dawno	c	0	0	-1	4.6
jednolity	m	0	0	0	-1.0
kawałek	c	0	-1	0	4.3
wniebowzięty	m	1	1	0	-0.0
żydowski	c	0	0	0	-4.1
wyśmienicie	m	1	-1	2	-3.9
lekki	m	0	0	0	2.5
napiąć	m	1	-1	0	-10.2
dziedziczyć	c	1	-1	-2	-2.6
wykształcić	c	1	1	0	-1.0
podciągać	c	0	-1	-1	-1.0
lekarka	c	1	0	0	-2.0
świąteczny	c	0	0	1	1.1
rosyjski	c	1	-1	-1	-1.7
miłośniczka	c	1	1	0	-1.0
krzykliwy	m	1	0	0	-4.2
ulubiony	c	1	1	0	5.9
pałac	c	1	1	0	-0.5
opłacalny	m	1	-1	-2	-1.0
podróbka	c	1	1	-1	-1.0
fajny	m	1	-1	0	2.0
pech	c	1	1	0	-4.0
wyrób	c	0	1	0	1.2
pstrokato	m	1	-1	-2	-1.0
grunt	c	0	0	0	0.2
stryj	c	1	1	0	0.2
reklama	c	0	1	0	6.4
wystawny	c	0	1	1	-1.0
dłoń	c	0	-1	-1	1.9
mieszany	c	0	1	1	-1.0
dopowiedzieć	c	1	-1	0	-1.0
wpis	c	0	0	0	-2.0
cofnąć	c	1	1	1	-7.5
udomowić	c	1	-1	0	-1.0
zawierać	c	0	0	0	-0.3
pieczenie	c	0	1	2	-4.6
kutas	c	0	1	0	-1.0
działać	c	1	1	1	1.6
teoretyczny	m	0	0	0	-0.8
kierować	c	0	-1	1	4.4
trójkąt	c	0	0	0	-2.0
seans	c	1	-1	0	-1.0
łatwość	c	1	1	1	-2.5
święcić	m	0	0	0	-1.0
dodatek	c	1	-1	0	-1.0
czekolada	c	0	1	-1	-2.6
podawać	c	0	-1	0	0.2
giętki	m	1	-1	-1	-2.0
parę	c	0	0	0	3.7
nadmierny	c	1	-1	-1	-7.5
dziewiczy	m	0	0	0	-2.0
zająć	c	0	1	1	7.2
zrogowacieć	m	1	0	-1	-1.0
entuzjastyczny	m	1	1	2	-0.0
utalentowany	m	1	1	-2	1.5
węglowy	c	1	1	0	-2.6
przytłaczająco	m	1	-1	-1	-1.0
taka	m	0	0	0	-0.2
ignorancja	c	1	-1	-1	-2.0
potężny	m	1	1	-2	-1.3
wodnisty	m	0	-1	0	-1.0
naruszalny	m	0	0	1	-1.0
serdeczny	c	1	1	1	5.6
światowy	m	1	-1	0	-1.0
pięknie	m	1	1	1	10.3
wilgotny	m	0	-1	1	-0.6
pozytywnie	m	1	1	0	-2.3
oniemiać	m	1	1	-1	-1.0
repertuar	c	0	0	0	0.4
porywczo	m	1	-1	-1	-1.0
syndykat	c	1	-1	1	-1.0
popis	c	0	0	0	-0.0
projektor	c	1	-1	-1	-1.0
cytra	c	1	1	-1	-1.0
dorosnąć	m	1	-1	-2	-3.6
wina	c	1	0	0	-2.5
sala	c	1	-1	0	3.6
wściec	m	1	-1	0	-2.5
wprawić	c	1	1	1	-1.0
inicjować	c	0	-1	0	0.5
komiczny	m	0	0	-2	-0.5
dojmująco	m	1	-1	-1	-3.0
podłamać	c	1	1	1	-1.0
wybaczalny	m	0	0	0	-1.0
kufer	c	1	-1	-1	-1.0
specyficzny	m	0	0	0	-3.2
adresat	c	0	1	0	3.1
medytacja	c	1	1	0	-1.0
odróżnialny	m	0	0	0	-1.0
perwersyjny	c	1	-1	1	-1.6
niewątpliwy	c	1	1	2	2.3
znacznie	c	0	0	0	0.4
kolejny	m	0	1	0	3.2
dostawić	c	0	1	1	-0.0
japoński	m	1	1	1	-0.5
wieś	c	0	1	0	1.4
poniedziałek	c	0	0	0	-0.2
rehabilitacja	c	0	0	0	-6.6
obco	m	1	-1	-1	-1.0
dalekosiężny	m	0	0	0	-2.0
wybrany	c	0	0	0	-0.0
literalnie	m	0	0	0	-1.0
szwajcaria	c	1	1	0	-1.0
odzyskać	c	1	-1	0	-0.6
podwójny	c	1	-1	0	-0.9
trądzik	c	1	-1	0	-1.0
sukienka	c	0	0	0	-1.6
zalecać	c	0	-1	0	-5.1
ciąż	c	1	1	0	-1.0
dowódca	c	0	1	0	-1.6
krzesło	c	1	1	0	-1.0
wysoki	m	0	0	0	4.8
średnio	m	1	1	2	-5.6
przymiot	c	1	-1	0	-0.0
kontroler	c	1	1	0	-1.0
wysoko	m	0	0	0	4.4
merkel	c	1	1	0	-1.0
dosłownie	c	0	-1	1	-3.7
żywy	m	1	1	0	3.9
łacny	m	0	0	0	-1.0
czepialska	m	1	1	0	-1.0
księgowość	c	0	0	0	-1.0
pojęć	c	1	1	0	-1.0
genialny	m	1	1	0	2.5
maciupki	m	1	1	-1	-1.0
innowacyjny	m	1	1	0	-0.0
czepialski	m	1	-1	-1	-1.0
oblężony	c	0	-1	0	-1.0
apteka	c	0	0	0	-0.3
prawda	c	1	1	1	6.3
bomba	c	1	1	0	-2.4
uczestnik	c	0	0	0	1.9
zabawnie	c	1	1	0	-2.0
równomierny	c	0	0	1	-1.0
urokliwy	m	1	1	1	-1.0
osiągnięcie	c	0	0	-1	2.8
republika	c	1	1	0	-4.0
zmusić	c	1	0	0	-4.1
prezerwatywa	c	0	1	2	-1.0
banalnie	m	1	-1	-1	-1.0
zapas	c	0	1	0	-2.0
reguła	c	0	0	0	-0.9
tryb	c	0	0	0	-6.3
możliwość	c	1	-1	1	3.4
łącznik	c	1	1	1	-1.0
śmieszny	m	1	-1	-1	2.7
zastanowić	c	1	1	1	-2.9
monogamista	c	1	1	1	-1.0
sportowy	m	0	0	0	1.0
wózek	c	1	1	0	-1.8
marnie	m	1	-1	-2	-2.6
ocalić	c	1	1	1	1.9
uległy	c	1	-1	-1	-1.0
umiejętność	c	1	1	1	4.0
oryginalny	m	1	1	2	0.8
próbka	c	0	0	0	-2.0
podłużny	m	0	0	0	-0.0
spory	c	1	1	0	2.9
ubić	m	1	1	0	-1.0
zajmować	m	0	1	0	3.5
sport	c	1	1	2	3.1
zacząć	c	1	1	0	3.6
książka	c	0	0	0	3.7
wątek	c	1	1	0	-2.1
rada	c	0	0	0	2.4
długotrwały	m	0	0	0	-6.1
wypożyczyć	c	0	0	0	-2.0
rozgrywać	c	0	1	0	-4.3
kolumna	c	0	0	0	-3.6
porządny	m	1	1	1	1.5
młodzież	c	1	1	1	4.1
broń	c	1	-1	-1	0.9
narożnik	c	1	1	0	-1.0
rady	c	1	1	0	-1.0
zachować	c	0	0	0	5.1
warszawski	m	1	0	0	-1.2
solipsystyczny	m	0	1	0	-1.0
august	c	0	1	0	-4.0
czołówka	c	1	1	0	-4.0
atrapa	c	1	1	1	-1.0
posmak	c	1	-1	0	-3.0
krośno	c	0	1	0	-1.0
opakować	c	0	1	1	-1.0
terapeuta	c	0	1	0	-4.2
kandydat	c	1	1	0	-4.0
zaciąć	m	1	-1	0	-2.0
prosperować	c	0	1	-1	-0.0
powiedzieć	c	1	1	0	5.1
ociężale	m	1	-1	-1	-1.0
opóźnić	c	0	-1	0	-3.0
bezbolesny	m	1	1	0	-5.5
reformatorski	m	1	1	1	-1.0
zdobić	c	1	-1	-1	0.5
dawać	c	1	1	0	4.1
niegrzeczny	c	1	-1	-2	0.3
wypaść	m	1	1	0	-3.8
grzeczny	m	1	1	1	3.1
odczuwać	c	1	-1	0	-2.1
prokurent	c	0	1	0	-1.0
drogo	c	1	1	-1	-1.0
drogi	c	1	1	0	3.3
metaliczny	c	1	1	0	-2.0
ambicja	c	1	1	-1	-1.5
tortownica	c	0	1	0	-1.0
